abaca	абака
fibril	тонкое нервное волокно
fibrillation	свертывание крови
fibrin	фибрин
fibroid	фиброзная опухоль
fibroin	фиброин
fibrous	волокнистый
fibster	лгунишка
ficelle	цвета небеленой ткани
fichu	фишю
fickle	непостоянный
fickleness	непостоянство
fictile	глиняный
fiction	вымысел
fiction-monger	выдумщик
fictional	вымышленный и пр. {см. fiction}
fictionalize	придумывать
fictitious	вымышленный
fid	клин
fiddle	скрипка
fiddle-case	футляр для скрипки
fiddle-de-dee	чепуха
fiddle-faddle	пустяки
fiddle-head	резное украшение на носу корабля
fiddler	скрипач (особ. уличный)
fiddlestick	смычок
fiddling	пустой
fiddly	кропотливый
Fidelia	Фиделия
fidelity	верность
fidget	(часто the fidgets) беспокойное состояние
fidgety	неугомонный
fiducial	основанный на вере или доверии
fiduciary	попечитель
fie	фу!
fie-fie	неприличный
fief	феодальное поместье
field	поле
field-allowance	полевая норма снабжения
field-artillery	(легкая) полевая артиллерия
field-book	книга записей геодезических замеров
field-day	маневры
field-glasses	полевой бинокль
field-gun	полевая пушка
field-house	раздевалка и место хранения спортивного инвентаря при стадионе
field-mouse	полевая мышь
field-officer	штаб-офицер (офицер , имеющий чин не ниже майора и не выше полковника)
field-sports	занятия охотой
field-telephone	полевой телефон
field-work	работа в поле (геолога и т. п.)
fieldfare	дрозд-рябинник
fieldsman	принимающий игрок (в крикете)
fiend	дьявол
fiendish	дьявольский
fierce	свирепый
fiery	огненный
fiesta	праздник
Fife	Файф
fife	дудка
fifteen	пятнадцать
fifteenth	1._n-ord. пятнадцатый
fifth	1._n-ord. пятый
fifthly	в-пятых
fifties	(the fifties) пятидесятые годы
fiftieth	1._n-ord. пятидесятый
fifty	пятьдесят
fifty-fifty	поровну
fig	винная ягода
fig-leaf	фиговый лист(ок)
fig-tree	фиговое дерево
fig-wort	норичник
fight	бой
fighter	боец
fighting	бой
figment	вымысел
figurant	артист кордебалета
figurante	артистка кордебалета
figuration	вид
figurative	фигуральный
figure	фигура
figure-head	носовое украшение
figure-of-eight	имеющий форму восьмерки
figure-skating	фигурное катание (на коньках)
figured	фигурный
figurine	статуэтка
Fiji	Фиджи
filaceous	волокнистый
filament	нить
filamentary	волокнистый
filamentous	волокнистый
filar	филярный
filature	шелкопрядение
filbert	лещина
filch	украсть
file	напильник
file-cutter	насекальщик напильников
filet	филе (кружево)
filial	сыновний
filiation	отношение родства
filibuster	флибустьер
filicide	детоубийство
filiform	нитевидный
filigree	филигранная работа
filing	опиловка
fill-dike	дождливый период (обыкн. февраль)
fill-in	временная замена
filler	тот
fillet	лента или узкая повязка (на голову)
filling	наполнение
filling-station	автозаправочная станция
fillip	щелчок
fillister	фальцовка
filly	молодая кобыла
film	пленка
film-maker	создатель кинофильма
film-strip	диафильм
filmic	кинематографический
filming	киносъемка
filmland	мир кино
filmy	пленчатый
filoselle	шелк-сырец
filter	фильтр
filter-bed	фильтрующий слой
filter-tipped	filter-tipped cigarette
filth	грязь
filthy	грязный
filtrate	фильтрат
filtration	фильтрация
fin	плавник (рыбы)
fin-back	кит-полосатик
finable	облагаемый штрафом
finagle	надувать
final	конечный
finale	финал
finalist	финалист
finality	законченность
finalize	завершать
finally	в заключение
finance	финансы
financial	финансовый
financier	финансист
finch	название многих певчих птиц	
find	и found находить
finder	искатель
finding	находка
fine	пеня
fine-draw	fine-drew
fine-drawn	сшитый незаметным швом
fine-fleece	тонкорунный
fine-grained	мелкозернистый
fine-spun	тонкий (о ткани)
fine-tune	точно регулировать
finely-fibred	тонковолокнистый
fineness	тонкость
finery	пышный наряд
finesse	тонкость
finger	палец (руки , перчатки)
finger-alphabet	азбука глухонемых
finger-board	гриф
finger-bowl	небольшая чаша (для споласкивания пальцев после десерта)
finger-flower	наперстянка
finger-hole	боковое отверстие
finger-mark	пятно от пальца
finger-nail	ноготь
finger-plate	наличник дверного замка
finger-post	указательный столб на развилке дороги	
finger-stall	напалок
finger-tip	кончик пальца
fingerhold	шаткая опора
fingering	прикосновение пальцев
finical	разборчивый
fining	очистка
finis	only конец (пишется в конце книги)
finish	окончание
finished	законченный
finisher	аппретурщик
finishing	аппретура
finite	ограниченный
fink	штрейкбрехер
Finland	Финляндия
Finn	финн
finnan	копченая пикша (тж. finnan haddock)
Finnic	финский
Finnish	финский
Finno-Ugrian	финно-угорский (о языках)
finny	имеющий плавники
fiord	фиорд
fir	пихта
fir-cone	еловая шишка
fir-needle	еловая или сосновая игла
fire	огонь
fire-alarm	пожарная тревога
fire-arm	обыкн. огнестрельное оружие
fire-ball	болид
fire-bar	колосник
fire-bomb	зажигательная бомба
fire-box	огневая коробка
fire-brand	головня (обгорелое полено)
fire-brick	огнеупорный кирпич
fire-bridge	пламенный порог
fire-brigade	пожарная команда
fire-bug	светляк
fire-clay	огнеупорная глина
fire-cock	пожарный кран
fire-company	пожарная команда
fire-control	управление огнем
fire-damp	рудничный газ
fire-department	пожарное депо
fire-door	топочная дверца
fire-drill	учебные занятия пожарной команды
fire-eater	пожиратель огня (о фокуснике)
fire-engine	пожарная машина
fire-escape	пожарная лестница
fire-extinguisher	огнетушитель
fire-eyed	с горящим взором
fire-glass	решетчатое окошечко печи
fire-grate	колосниковая решетка
fire-guard	каминная решетка
fire-hose	пожарный рукав
fire-insurance	страхование от огня
fire-irons	каминный прибор
fire-light	свет от камина
fire-lighter	растопка
fire-office	контора общества страхования от огня
fire-pan	жаровня
fire-place	камин
fire-plug	пожарный кран
fire-policy	полис (страхования от огня)
fire-raising	ред. поджог
fire-screen	каминный экран
fire-ship	брандер
fire-squad	(противо)пожарная бригада
fire-step	стрелковая ступень (в окопе)
fire-warden	начальник лесной пожарной охраны
fire-water	'огненная вода' (водка и т. п.)
fire-worship	огнепоклонничество
firebreak	открытое место в лесу
firecracker	шутиха
firefly	светляк (летающий)
firelock	кремневое ружье
fireman	пожарный
fireproof	несгораемый
fireside	место около камина
firespotter	пожарник на вышке
firestorm	огненная буря (вызванная сильным пожаром)
firewood	дрова
fireworker	пиротехник
fireworks	фейерверк
firing	стрельба
firing-line	огневой рубеж
firm	фирма
firmament	(обыкн. the firmament) небесный свод
firman	фирман (указ султана или шаха)
firry	еловый
first	1._n-ord. первый
first-aid	первая помощь
first-born	первенец
first-chop	первосортный
first-class	первый класс
first-cousin	двоюродный брат
first-day	воскресенье (у квакеров)
first-ever	первый
first-floor	находящийся на втором этаже или относящийся ко второму этажу
first-foot	первый гость в Новом году
first-fruits	первые плоды тж.
first-hand	полученный из первых рук
first-night	премьера
first-nighter	постоянный посетитель театральных премьер
first-rate	первоклассный
first-timer	начинающий
firstling	обыкн. первые плоды
firstly	во-первых
firth	узкий морской залив
fiscal	фискальный
fish-ball	рыбная котлета
fish-farming	рыбоводство
fish-fork	острога
fish-glue	рыбный клей
fish-hook	рыболовный крючок
fish-kettle	котел для варки рыбы целиком
fish-knife	столовый нож для рыбы
fish-ladder	рыбоход (в плотине)
fish-plate	стыковая накладка
fish-pond	пруд для разведения рыбы
fish-pot	верша (для крабов , угрей)
fish-slice	широкий прямоугольный кухонный нож для рыбы
fish-tackle	рыболовные принадлежности
fish-tail	рыбий хвост
fishbolt	стыковой болт
fisher	рыбак
fisherman	рыбак
fishery	рыболовство
fishily	подозрительно
fishing-line	леса
fishing-rod	удилище
fishing-tackle	рыболовные снасти
fishmonger	торговец рыбой
fishwife	торговка рыбой
fishy	рыбный
fissile	расцепляющийся
fission	расщепление
fissionable	расщепляемый
fissure	трещина
fist	кулак
fistful	(полная) горсть чего-л.
fistic	кулачный
fisticuff	удар кулаком
fistula	фистула
fit	припадок
fit-out	снаряжение
fitch	хорьковый мех
fitful	судорожный
fitment	предмет обстановки
fitness	(при)годность , соответствие
fitter	слесарь-монтажник
fitting	пригонка
fitting-room	примерочная
fitting-shop	сборочная мастерская
five	пять
five-day	пятидневный
five-finger	лапчатка
five-year	пятилетний
fivefold	пятикратный
fiver	пятерка (пять фунтов стерлингов или пять долларов)
fives	as род игры в мяч
fivescore	сотня
fix	укреплять
fixation	фиксация
fixative	фиксирующий
fixature	фиксатуар
fixed	неподвижный
fixedly	пристально
fixedness	неподвижность
fixer	фиксаж
fixings	снаряжение
fixity	неподвижность
fixture	арматура
fizgig	ветреная
fizz	шипение
fizzle	шипящий звук
fizzy	газированный
fjord	фьерд
FL	falsa lectio разночтение Florida Флорида
flab	вялые мускулы
flabbergast	поражать
flabby	отвислый
flaccid	слабый
flag	флаг
flag-captain	командир флагманского корабля
flag-day	день продажи на улице маленьких флажков с благотворительной целью
flag-officer	адмирал
flag-station	станция
flag-wagging	сигнализация флагами
flag-waving	шовинизм
flagellant	флагеллант
flagellate	бичевать
flagellation	бичевание
flageolet	флажолет
flagging	устланная плитами мостовая
flagitious	преступный
flagman	сигнальщик
flagon	графин или большая бутыль со сплюснутыми боками
flagrant	ужасающий
flagship	флагманский корабль
flagstaff	флагшток
flail	цеп
flair	нюх
flak	зенитная артиллерия
flake	хлопья
flaky	похожий на хлопья
flam	фальшивка
flambeau	факел
flamboyant	огненно-красный цветок
flame	пламя
flame-thrower	огнемет
flamenco	фламенко (испанский танец)
flameproof	жароустойчивый
flaming	пламенеющий
flammable	огнеопасный
flamy	огненный
flan	открытый пирог с ягодами
flange	фланец
flank	бок
flanker	обход
flannel	фланель
flannelette	фланелет
flannelled	одетый в фланелевый костюм
flap	что-л.	
flap-eared	вислоухий
flapdoodle	глупости
flapjack	блин
flapper	хлопушка (для мух)
flare	яркий
flare-up	вспышка (тж. обр. о гневе и т. п.)
flaring	ярко
flash	вспышка
flash-house	притон
flash-light	сигнальный огонь
flash-point	температура вспышки
flashback	взгляд в прошлое
flashbulb	лампа-вспышка
flasher	эксгибиционист
flashgun	лампа для (магниевой) вспышки , 'блиц'
flashing	сверкание и пр. {см. flash 2}
flask	фляжка
flasket	маленькая фляжка
flat-boat	плоскодонка
flat-broke	разоренный вконец
flat-car	вагон-платформа
flat-fish	плоская рыба (камбала и т. п.)
flat-foot	плоскостопие
flat-footed	плоскостопный
flat-iron	утюг
flat-out	изо всех сил
flatlet	небольшая квартирка
flatly	плоско
flatmate	сосед по квартире
flatness	плоскость
flatten	делать(ся) ровным
flatter	льстить
flatterer	льстец
flattering	льстивый
flattery	лесть
flatting	прокатка
flattop	авианосец
flatulence	скопление газов
flatulency	скопление газов
flatulent	вызывающий газы (в кишечнике)
flatware	столовый прибор (нож , вилка и ложка)
flatways	плашмя
flatwise	плашмя
flaunt	гордо развеваться (о знаменах)
flautist	флейтист
flavin	желтая краска
flavour	вкус (обыкн. приятный)
flavouring	приправа
flavourless	безвкусный
flaw	трещина
flawless	без изъяна
flawy	с изъянами
flax	лен
flax-seed	льняное семя
flaxen	льняной
flaxy	льняной
flay	сдирать кожу
flay-flint	вымогатель
flea	блоха
flea-bag	спальный мешок
flea-bane	блошница дизентерийная
flea-bite	блошиный укус
flea-bitten	искусанный блохами
flea-pit	грязная
fleam	ланцет
flecker	испещрять
fled	и от flee
fledge	оперяться
flee	и fled бежать
fleece	руно
fleecy	покрытый шерстью
fleer	презрительный взгляд
fleet	флот
fleet-footed	быстроногий
fleeting	быстрый
Fleming	фламандец
Flemish	фламандский
flense	обдирать (кита , тюленя)
flesh	(сырое) мясо
flesh-coloured	телесного цвета
flesh-fly	мясная муха
flesh-pot	котел для варки мяса
flesh-wound	поверхностная рана
fleshings	трико телесного цвета (для сцены)
fleshly	телесный
fleshy	мясистый
fleur-de-lis	fleurs-de-lis ирис
flew	от fly
flews	отвислые губы (у собаки-ищейки и т. п.)
flex	гибкий шнур
flexible	гибкий
flexion	сгиб
flexitime	скользящий график
flexor	сгибающая мышца
flibbertigibbet	легкомысленный или ненадежный человек
flick	легкий удар (хлыстом , ногтем и т. п.)
flick-knife	пружинный
flicker	мерцание
flickering	трепещущий
flight	полет (тж. перен.)
flight-deck	полетная палуба (на авианосце)
flight-lieutenant	капитан авиации (в Англии)
flight-shot	дальность полета стрелы
flighty	непостоянный
flim-flam	вздор
flimsy	папиросная или тонкая бумага (для копий)
flinders	куски
fling	бросание
flint	кремень
flint-glass	флинтглас
flint-hearted	жестокосердный
flint-lock	замок кремневого ружья
flint-paper	наждачная бумага
flinty	кремнистый
flip	щелчок
flip-flap	хлопающие звуки
flippancy	легкомыслие
flippant	легкомысленный
flipper	плавник
flipping	проклятый
flirt	кокетка
flirtation	флирт
flirtatious	кокетливый
flirty	любящий пофлиртовать
flit	перемена местожительства (особ. тайно от кредиторов)
flitch	засоленный и копченый свиной бок
flitter	порхать
flivver	дешевый автомобиль
Flo	of Florence
float-plane	поплавковый гидросамолет
floatable	плавучий
floatage	плавучесть
floatation	плавучесть
floater	сезонный рабочий
floating	плавающий
floaty	плавучий
flocculate	выпадать хлопьями
flock	пушинка
floe	плавучая льдина
flog	стегать
flogging	порка
flood	наводнение
flood-gate	шлюз
floodlight	обыкн. прожекторное освещение
floor	пол
floor-cloth	линолеум
floor-lamp	торшер
floorer	сногсшибательный удар
flooring	настил
floorwalker	администратор универсального магазина
floosie	шлюха
floozie	шлюха
floozy	шлюха
flop	шлепанье
flophouse	ночлежка
floppy	свободно висящий
Flora	Флора
floral	цветочный
Florence	г. Флоренция
Florentine	флорентийский
florescence	цветение
floret	цветок
floriated	с цветочным орнаментом
floriculture	цветоводство
florid	цветистый
Florida	Флорида
florin	флорин (монета в разных странах)
florist	торговец цветами
floruit	годы деятельности исторического лица
floss	шелк-сырец
Flossie	of Florence Флосси
flossy	шелковистый
flotilla	флотилия (обыкн. мелких судов)
flotsam	выброшенный и плавающий на поверхности груз
flounce	резкое нетерпеливое движение
flounder	барахтаться
flour	мука
flourish	размахивание
flourishing	здоровый
floury	мучной
flout	презирать
flow	течение
flower	цветок
flower-garden	цветник
flower-girl	цветочница
flower-piece	картина с изображением цветов
flower-show	выставка цветов
flowerbed	клумба
flowered	украшенный цветочным узором
floweret	цветочек
flowering	расцвет
flowerpot	цветочный горшок
flowery	убранный цветами
flowing	текущий
flown	от fly
Floy	of Florence Флой
flu	грипп
fluctuate	колебаться
fluctuation	колебание
fluency	плавность
fluent	гладкий
fluently	плавно
fluey	пушистый
fluff	пух
fluffy	пушистый
fluid	жидкость
fluidity	жидкое состояние
fluke	камбала
flume	горное ущелье с потоком
flummery	род дрочены
flummox	смущать
flump	глухой шум
flunk	полный провал
flunkey	ливрейный лакей
fluor-spar	плавиковый шпат
fluorescence	свечение
fluorescent	флуоресцентный
fluorine	фтор
flurry	беспокойство
flush	внезапный прилив
fluster	суета
flute	флейта
flutist	флейтист
flutter	порхание
fluty	напоминающий звук флейты
fluvial	речной
fluxion	прилив крови или жидкости (к лицу и др. частям тела)
fly	муха
fly-agaric	мухомор
fly-away	широкий
fly-bitten	засиженный мухами
fly-blow	яйцо мухи (в мясе)
fly-blown	испорченный (о мясе , пораженном яйцами мух)
fly-by-night	ненадежный
fly-fishing	ужение на муху
fly-leaf	форзац
fly-on-the-wall	документальный (о фильмах , в которых воспроизводятся обычные события из жизни людей , а не интервью с ними)
fly-paper	липкая бумага от мух
fly-past	воздушный парад
fly-sheet	листовка
fly-trap	мухоловка
fly-wheel	маховое колесо
flyer	птица
flying	летание
flyman	рабочий на колосниках
flyover	эстакада
foal	жеребенок
foalfoot	мать-и-мачеха
foam	пена
foam-rubber	губчатая резина
foamy	пенящийся
fob	кармашек для часов to fob off smb. with smth.
focal	фокусный
fodder	корм для скота
foe	враг
foetal	эмбриональный
foetus	утробный плод
fog	густой туман
fog-horn	сирена
fogbound	задержанный туманом
fogey	старомодный
foggy	туманный
foible	слабая струнка
foil	фольга
foist	всунуть
fold	складка
folder	папка
folding	фальцовка
folding-bed	походная кровать
folding-chair	складной стул
foliage	листва
foliar	лиственный
foliate	лиственный
folio	инфолио (формат в пол-листа)
folk	(употр. с гл. во мн. ч.) люди
folk-etymology	народная этимология
folk-lore	фольклор
Folkestone	г. Фолкстон
folksy	близкий к народу
folkways	народные обычаи
follicle	кокон
follow	следовать
follow-up	проверка исполнения
follower	последователь
following	последователи
folly	глупость
foment	класть припарки
fomentation	припарка
fond	нежный
fondant	помадка
fondle	ласкать caress
fondling	любимец
fondly	нежно
fondness	нежность
fondue	фондю
food	пища
food-card	продовольственная карточка
food-stuffs	продовольствие
foodie	любитель готовить еду
fool	дурак
fool's-cap	шутовской колпак
foolery	дурачество
foolhardy	безрассудно храбрый
foolish	глупый
foolishness	глупость
foolproof	несложный
foolscap	шутовской колпак
foot-bath	ножная ванна
foot-bridge	пешеходный мостик
foot-dragging	торможение
foot-fault	потеря подачи из-за неправильного положения ног подающего (в теннисе) , зашаг
foot-gear	обувь
foot-hill	предгорье
foot-mark	след
foot-note	подстрочное примечание
foot-pace	шаг
foot-passenger	пешеход
foot-path	пешеходная дорожка
foot-plate	площадка машиниста паровоза
foot-pound	футофунт
foot-race	состязание по ходьбе
foot-rule	линейка
foot-slogger	пехотинец
foot-wear	обувь
footage	длина пленки или фильма в футах
football	футбол
footballer	футболист
footballing	футбольный
footboard	подножка (экипажа , железнодорожного вагона , автомобиля)
footer	футбол
footfall	поступь
foothold	опора для ноги
footing	опора для ноги
footle	болтовня
footless	безногий
footlights	огни рампы
footling	пустяковый
footloose	свободный
footman	(ливрейный) лакей
footpad	разбойник
footprint	след
footsore	со стертыми ногами	
footstalk	стебель
footstep	след
footstool	скамеечка для ног
footway	пешеходная дорожка
footwork	работа ног (в спорте , танцах и т. п.)
footworn	усталый (о путнике)
foozle	неудачный удар (в гольфе)
fop	фат
foppery	фатовство
foppish	фатоватый
for	для
forage	фураж
forage-cap	пилотка
forager	фуражир
forasmuch	forasmuch as
foray	набег
forbade	от forbid
forbear	обыкн. предок forbore
forbearance	воздержанность
forbid	forbad
forbidden	запретный
forbidding	непривлекательный
force	сила
force-land	совершать вынужденную посадку
force-meat	фарш
force-pump	нагнетательный насос
forced	принудительный
forcedly	вынужденно
forceful	сильный
forceless	бессильный
forceps	and хирургические щипцы
forcible	насильственный
forcing	насилие
ford	Ford 'форд' (автомобиль) брод
fore	нос
fore-	пред-
fore-and-aft	продольный
fore-cabin	салон командира
fore-edge	передний обрез книги
fore-runner	предтеча
forearm	предплечье заранее вооружаться
forebode	предвещать
foreboding	плохое предзнаменование
forecast	предсказание
forecaster	предсказатель
forecastle	бак
foreclose	исключать
foreclosure	лишение права выкупа закладной
forecourt	внешний двор (перед домом)
foredoom	обыкн. предрешать (судьбу)
forefather	гл. обр. предок
forefinger	указательный палец	
forefoot	передняя нога или лапа
forefront	передовая линия (фронта)
foregoing	предшествующий
foregone	известный или принятый заранее
foreground	передний план (картины)
forehand	передняя часть корпуса лошади (перед всадником)
forehanded	своевременный
forehead	лоб
foreign	иностранный
foreigner	иностранец
forejudge	принимать предвзятое решение
foreknow	foreknew
foreknowledge	предвидение farsightedness
foreland	мыс
foreleg	передняя нога или лапа
forelock	прядь волос на лбу
foreman	мастер
foremast	фок-мачта
foremilk	молозиво
foremost	передний
forename	имя (в отличие от фамилии на бланках , анкетах и т. п.)
forenoon	время до полудня
forensic	судебный
foreordain	предопределять
forepart	передняя часть
foresail	фок
foresaw	от foresee
foresee	foresaw
foreseeable	поддающийся предвидению
foreshadow	предзнаменовать
foreshore	береговая полоса
foreshorten	рисовать или чертить в перспективе или ракурсе
foreshow	foreshowed foreshown предсказывать
foresight	предвидение
foreskin	крайняя плоть
forest	лес
forestall	предупреждать
forester	лесник
forestry	лесничество
foretaste	предвкушение
foretell	и foretold предсказывать predict
forethought	предусмотрительность
forethoughtful	предусмотрительный
foretime	старые времена
foretoken	плохое предзнаменование
foretooth	передний зуб
forever	навсегда
forewarn	предостерегать
forewoman	женщина-десятник
foreword	предисловие
forfeit	расплата (за проступок и т. п.)
forfeiture	потеря
forgather	собираться
forgave	от forgive
forge	кузница
forger	тот
forgery	подлог
forget	forgot
forget-me-not	незабудка
forgetful	забывчивый
forgettable	забываемый
forgivable	простительный
forgive	forgave
forgiveness	прощение
forgiving	снисходительный
forgo	forwent
forgotten	забытый
fork	вилка
fork-lift	грузоподъемник (тж. fork-lift truck)
forked	раздвоенный
forkful	количество
forlorn	несчастный
form	форма
form-master	классный руководитель
formal	официальный
formaldehyde	формальдегид
formalin	формалин
formalism	формализм
formalist	формалист
formality	соблюдение установленных норм и правил
formalize	оформлять
format	формат книги
formate	лететь строем соль муравьиной кислоты
formation	образование
formative	образующий
former	составитель
formic	муравьиный
formica	огнеупорная пластмасса (торговая марка)
formicary	муравейник
formication	мурашки по телу
formidable	страшный
formless	бесформенный
Formosa	Формоза
formula	формула
formulaic	шаблонный
formulate	формулировать
formulation	формулировка
formulism	слепое следование формуле
fornicate	вступать во внебрачную связь
fornication	внебрачная связь
forrader	вперед
forsake	forsook
forsaken	брошенный
forsooth	несомненно
forswear	forswore
forsworn	(the forsworn) клятвопреступник(и)
fort	форт
forte	сильная сторона (в человеке)
forth	вперед
Forth	р. Форт
forthcoming	появление
forthright	прямой
forthwith	тотчас
forties	(the forties) сороковые годы
fortieth	1._n-ord. сороковой
fortification	фортификация
fortified	укрепленный
fortify	укреплять (against , with) Walls of earth will fortify the building against enemy bombing. Have some hot soup to fortify you against the cold.
fortissimo	фортиссимо
fortitude	сила духа
fortnight	две недели
fortnightly	двухнедельный
fortress	крепость
fortuitous	случайный chance
fortuity	случайность
fortunate	счастливый
fortunately	счастливо
fortune	удача
fortune-hunter	охотник за приданым
fortune-teller	гадалка
fortuneless	незадачливый
forty	сорок
forty-niner	золотоискатель (прибывший в Калифорнию в 1849 г. после открытия в ней золота)
forum	форум
forward	передний
forward-looking	предусмотрительный
forwarder	экспедитор
forwardness	раннее развитие
forworn	усталый
fossick	шарить
fossil	окаменелость
fossilize	превращать(ся) в окаменелость
foster	воспитывать
foster-brother	молочный брат
foster-child	приемыш
foster-father	приемный отец
foster-mother	кормилица
foster-parents	приемные родители (без формального усыновления)
foster-sister	молочная сестра
fosterage	воспитание (чужого) ребенка
fosterling	питомец
foul	грязный
foul-mouthed	сквернословящий
foul-up	пиковое положение
foulard	фуляр
foule	фуле
foully	грязно
foulness	грязь
foumart	хорек
found	закладывать (фундамент , город)
foundation	фундамент
foundation-stone	фундаментный камень
foundationer	стипендиат (получающий стипендию из благотворительных средств)
founder	основатель
foundling	подкидыш
foundling-hospital	приют
foundress	основательница
foundry	литейная
fountain	ключ
fountain-head	ключ
fountain-pen	авторучка
four	четыре
four-ale	пиво
four-cornered	четырехугольный
four-cycle	четырехтактный
Four-F	негодный к действительной военной службе
four-flusher	обманщик
four-footed	четвероногий
four-handed	четверорукий (об обезьяне)
four-in-hand	экипаж четверкой
four-oar	четверка (лодка)
four-poster	кровать с пологом на четырех столбиках
four-seater	четырехместная машина
four-square	квадрат
four-wheeler	извозчичья карета
fourfold	четырехкратный
fourscore	восемьдесят
foursome	игра в гольф между двумя парами
fourteen	четырнадцать
fourteenth	1._n-ord. четырнадцатый
fourth	1._n-ord. четвертый
fourthly	в-четвертых
fowl	птица (тж. собир.)
fowl-run	птичий двор
fowler	птицелов
fowling-piece	охотничье ружье
fox	лисица
fox-brush	лисий хвост
fox-terrier	фокстерьер
foxbane	аконит
foxfire	фосфоресцирующий свет (гнилого дерева)
foxglove	наперстянка
foxhole	лисья нора
foxhound	английская паратая гончая
foxtrot	фокстрот
foxy	лисий
foyer	фойе
FPC	Federal Power Commission Федеральная комиссия по энергетике (США) Fish Protein Concentrate рыбно-белковый концентрат
FPO	Field Post Office военно-полевая почта Fleet Post Office почтовое отделение флота
fr.	franc франк from из Fr.
frabjous	великолепный
fracas	шумная ссора
fractal	фракталь
fraction	дробь
fractional	дробный
fractionary	дробный
fractionate	фракционировать
fractious	капризный
fracture	перелом
fragile	хрупкий
fragility	хрупкость
fragment	обломок
fragmentary	отрывочный
fragmentation	дробление
fragmented	разбитый на куски
fragrance	аромат
fragrant	ароматный
frail	тростник
frailty	хрупкость
frame	сооружение
frame-house	каркасный дом
frame-saw	рамная пила
frame-up	тайный сговор
framing	рама
franc	франк (денежная единица Франции , Бельгии и Швейцарии)
France	Франция
Frances	Франсис
franchise	(обыкн. the franchise) право участвовать в выборах , право голоса
Francis	Франсис
Franciscan	францисканский
frangible	ломкий
frank	Frank франк искренний
Frank	of Francis Фрэнк
Frankenstein	творение рук человеческих
frankfurter	сосиска
frankincense	ладан
franklin	свободный землевладелец недворянского происхождения
frantic	неистовый
fraternal	братский
fraternity	братство
fraternization	тесная дружба
fraternize	относиться по-братски (with) The soldiers are not allowed to fraternize with the women of the conquered town.
fratricidal	братоубийственный
fratricide	братоубийца
fraud	обман
fraudster	обманщик
fraudulent	обманный
fraught	обыкн. полный
fray	столкновение
frazil	шуга
frazzle	изношенность (платья)
freak	каприз
freaked	испещренный
freakish	капризный
freaky	странный
freckle	веснушка mole
freckled	веснушчатый
Fred	of Frederick Фред
Freddie	of Frederick Фредди
Freddy	of Frederick Фредди
free	свободный
free-board	надводный борт
free-born	свободнорожденный
free-floating	нецелеустремленный
free-for-all	открытый
free-hand	свобода действий
free-handed	щедрый
free-hearted	откровенный
free-lance	работать не по найму
free-lancer	работающий по найму
free-list	список не облагаемых пошлиной товаров
free-liver	жуир
free-range	находящийся на свободном выгуле
free-spoken	откровенный
free-standing	свободно стоящий
free-thinker	вольнодумец
free-trader	фритредер
free-way	автострада
free-will	добровольный
freebooter	грабитель
freedom	свобода
freefone	номер телефона
freeholder	фригольдер
freeloader	нахлебник
freely	свободно
freeman	почетный гражданин города
freemason	масон
freemasonry	франкмасонство
freestone	строительный камень
freestyle	использующий свободный стиль
Freetown	г. Фритаун
freeze	froze
freezer	испаритель (холодильника)
freezing	замерзание
freezing-point	точка замерзания
freight	фрахт
freightage	фрахтовка
freighter	фрахтовщик
French	французский
Frenchify	офранцуживать(ся)
Frenchman	француз
Frenchwoman	француженка
frenetic	буйный
frenzied	взбешенный
frenzy	безумие
frequency	частотность
frequent	частый
frequentative	многократный
frequenter	постоянный посетитель
freshen	освежать (в памяти)
freshener	освежающий напиток
fresher	новичок
freshet	поток пресной воды
freshly	свежо
freshman	первокурсник
freshwater	пресноводный
fret	раздражение
fret-saw	пилка для выпиливания
fretful	раздражительный
fretwork	резное/лепное украшение
Freudian	фрейдистский
friability	рыхлость
friable	рыхлый
friar	монах
friary	мужской монастырь
fribble	бездельник
fricassee	фрикасе
fricative	фрикативный
friction	трение
friction-gear	фрикционная передача
Friday	пятница
friend	друг
friendless	одинокий
friendliness	дружелюбие
friendly	дружеский
friendship	дружба
frieze	бобрик
frig	{см. refrigerator} онанировать
frigate	фрегат
frigging	чертов
fright	испуг
frighten	пугать
frightened	испуганный afraid
frightful	страшный
frigid	холодный
frigidity	морозность
frill	оборочка
frilled	украшенный оборками
frillies	нижние юбки с оборками
frilly	отделанный оборками
frippery	мишурные украшения
Frisco	г. Сан-Франциско
Frisian	фризский
frisk	прыжок
frisky	резвый
frit	фритта
fritter	оладья (часто с яблоками и т. п.)
frivol	вести праздный образ жизни
frivolity	легкомыслие
frivolous	пустой
frizz	кудри
frizzed	завитой
frizzle	жарить(ся) с шипением
frizzy	вьющийся
frock-coat	сюртук
frog	лягушка
frog-in-the-throat	хрипота
frog-march	прием подавления сопротивления при аресте (когда четыре полицейских несут человека за ноги и за руки лицом вниз)
froggy	лягушечий
frogling	лягушонок
frogman	ныряльщик с аквалангом
frogskin	долларовая бумажка
frolic	шалость
frolicsome	игривый
from	указывает на пространственные отношения от
frond	вайя
Fronde	фронда
front	фасад
front-bencher	министр
front-line	линия фронта
front-page	помещаемый на первой странице (газеты)
front-pager	сенсационная информация
front-rank	передовой
front-runner	лидер (в беге , на скачках)
frontage	передний фасад
frontal	лобный
frontier	граница
frontiersman	житель пограничной зоны
frontispiece	фронтиспис
frontlet	повязка на лбу
fronton	фронтон
frontward	выходящий на фасад
